Multithread, 2, 500, 925, 0.021504, 0.042096
Inline, 1, 500, 925, 0.028558, 0.028554
Inline, 1, 4000, 6000, 1.490265, 1.490193
Multithread, 2, 4000, 6000, 0.753943, 1.504815
Inline, 1, 4000, 3752, 0.888654, 0.888626
Multithread, 2, 4000, 3752, 0.471371, 0.932820
Multithread, 2, 810, 810, 0.028029, 0.055671
Inline, 1, 810, 810, 0.041880, 0.041867
Multithread, 2, 810, 810, 0.032077, 0.063994
Multithread, 2, 20, 10, 0.000216, 0.000348
Inline, 1, 20, 10, 0.000038, 0.000033
Inline, 1, 810, 810, 0.041262, 0.041259
Inline, 1, 810, 810, 0.033644, 0.033641
Inline, 1, 810, 810, 0.041810, 0.041796
Inline, 1, 3648, 5472, 1.195259, 1.195245
Inline, 1, 498, 500, 0.015491, 0.015476
Multithread, 2, 498, 500, 0.016872, 0.033426
Multithread, 2, 498, 500, 0.015840, 0.031553
Multithread, 2, 498, 500, 0.022068, 0.044023
Multithread, 2, 498, 500, 0.018882, 0.037499
