Method, Number of Process/Threads, Height, Width, Real Time, User Time
Multithread, 8, 3648, 5472, 0.641813, 2.468730
Multithread, 8, 3024, 4032, 0.410617, 1.520913
Multithread, 8, 3024, 4032, 0.371241, 1.531695
Multithread, 8, 3024, 4032, 0.375609, 1.553577
Multithread, 8, 3024, 4032, 0.413200, 1.511368
Multithread, 8, 3024, 4032, 0.384671, 1.523263
Multithread, 8, 168, 299, 0.003210, 0.010736
Multithread, 8, 168, 299, 0.002134, 0.008500
Multithread, 8, 168, 299, 0.002686, 0.007704
Multithread, 8, 168, 299, 0.002082, 0.008979
Multithread, 8, 168, 299, 0.002379, 0.008049
Multithread, 8, 1280, 1920, 0.071116, 0.301359
Multithread, 8, 1280, 1920, 0.072826, 0.302474
Multithread, 8, 1280, 1920, 0.073699, 0.306369
Multithread, 8, 1280, 1920, 0.077146, 0.306975
Multithread, 8, 1280, 1920, 0.078441, 0.313796
